time,in,out
9.848636425186188717e+03,1.322090232041030211e-03,1.000000000000000000e+03
9.858643195666893007e+03,-1.753308303071455729e-02,1.000000000000000000e+03
9.868649966147597297e+03,2.324983073798648700e-02,1.000000000000000000e+03
9.878656736628301587e+03,6.390718286450217805e-03,1.000000000000000000e+03
9.888663507109004058e+03,1.532701421800811668e-02,1.000000000000000000e+03
9.898670277589708348e+03,6.054040745984820907e-03,1.000000000000000000e+03
9.908677048070412638e+03,1.335409614082527785e-02,1.000000000000000000e+03
9.918683818551116929e+03,2.607619868283356929e-02,1.000000000000000000e+03
9.928690589031821219e+03,4.707176709546365134e-02,1.000000000000000000e+03
9.938697359512525509e+03,4.964116452268089313e-02,1.000000000000000000e+03
9.948704129993229799e+03,4.427648181202709088e-02,1.000000000000000000e+03
9.958710900473934089e+03,3.515639810426364475e-02,1.000000000000000000e+03
9.968717670954638379e+03,1.371767095463838002e-02,1.000000000000000000e+03
9.978724441435342669e+03,1.379259760776221921e-02,1.000000000000000000e+03
9.988731211916045140e+03,1.384969532836112169e-02,1.000000000000000000e+03
9.998737982396749430e+03,7.304807041300227788e-02,1.000000000000000000e+03
1.000874475287745372e+04,3.682772204099323682e-02,1.000000000000000000e+03
1.001875152335815801e+04,1.863359389425816443e-02,1.000000000000000000e+03
1.002875829383886230e+04,4.394657475230885624e-04,1.000000000000000000e+03
1.003876506431956659e+04,2.929519295869977349e-02,1.000000000000000000e+03
1.004877183480027088e+04,-3.218440327445105942e-02,1.000000000000000000e+03
1.005877860528097517e+04,-2.244278943804966023e-02,1.000000000000000000e+03
1.006878537576167946e+04,-1.267885353193378209e-02,1.000000000000000000e+03
1.007879214624238375e+04,3.584292484767501522e-03,1.000000000000000000e+03
1.008879891672308804e+04,-1.039675016926412503e-02,1.000000000000000000e+03
1.009880568720379233e+04,-3.856096510125181509e-02,1.000000000000000000e+03
1.010881245768449662e+04,-2.357973779774262882e-02,1.000000000000000000e+03
1.011881922816519909e+04,0.000000000000000000e+00,1.000000000000000000e+03
1.012882599864590338e+04,-4.387271496275802450e-03,1.000000000000000000e+03
1.013883276912660767e+04,-1.383276912660767397e-02,1.000000000000000000e+03
1.014883953960731196e+04,-2.000000000000000042e-02,1.000000000000000000e+03
1.015884631008801625e+04,-2.553893026404875990e-02,1.000000000000000000e+03
1.016885308056872054e+04,-5.370616113744108855e-02,1.000000000000000000e+03
1.017885985104942483e+04,-7.000000000000000666e-02,1.000000000000000000e+03
1.018886662153012912e+04,-6.527297347202297428e-02,1.000000000000000000e+03
1.019887339201083341e+04,-1.069058903181775017e-02,1.000000000000000000e+03
1.020888016249153770e+04,-1.198375084622959469e-04,1.000000000000000000e+03
1.021888693297224017e+04,-1.797624176770940690e-02,1.000000000000000000e+03
1.022889370345294446e+04,-2.000000000000000042e-02,1.000000000000000000e+03
1.023890047393364875e+04,-2.741706161137396139e-02,1.000000000000000000e+03
1.024890724441435304e+04,-5.072173324305913333e-02,1.000000000000000000e+03
1.025891401489505733e+04,-3.234394041977066425e-02,1.000000000000000000e+03
1.026892078537576162e+04,-3.258324613774840617e-02,1.000000000000000000e+03
1.027892755585646591e+04,-5.077737428448347856e-02,1.000000000000000000e+03
1.028893432633717021e+04,-3.039404197697876536e-02,1.000000000000000000e+03
1.029894109681787450e+04,-2.245953099033861852e-02,1.000000000000000000e+03
1.030894786729857879e+04,-2.631279620852729206e-02,1.000000000000000000e+03
1.031895463777928308e+04,-3.182125930943585299e-03,1.000000000000000000e+03
1.032896140825998737e+04,-1.823155044007580827e-02,1.000000000000000000e+03
1.033896817874068984e+04,2.803182125931016205e-02,1.000000000000000000e+03
1.034897494922139413e+04,1.640918323382885985e-02,1.000000000000000000e+03
1.035898171970209842e+04,0.000000000000000000e+00,1.000000000000000000e+03
1.036898849018280271e+04,0.000000000000000000e+00,1.000000000000000000e+03
1.037899526066350700e+04,9.995260663506996476e-03,1.000000000000000000e+03
1.038900203114421129e+04,9.072444143533760219e-04,1.000000000000000000e+03
1.039900880162491558e+04,5.405280974949346062e-02,1.000000000000000000e+03
1.040901557210561987e+04,4.360805071705478597e-02,1.000000000000000000e+03
1.041902234258632416e+04,4.000000000000000083e-02,1.000000000000000000e+03
1.042902911306702845e+04,4.854434664857763815e-03,1.000000000000000000e+03
1.043903588354773092e+04,9.188773311993412782e-03,1.000000000000000000e+03
1.044904265402843521e+04,3.520034467903977726e-03,1.000000000000000000e+03
1.045904942450913950e+04,-3.019769803655799473e-02,1.000000000000000000e+03
1.046905619498984379e+04,-2.242075460085206015e-02,1.000000000000000000e+03
1.047906296547054808e+04,1.812593094109615777e-02,1.000000000000000000e+03
1.048906973595125237e+04,1.520096017726411085e-02,1.000000000000000000e+03
1.049907650643195666e+04,3.984120145257542822e-03,1.000000000000000000e+03
1.050908327691266095e+04,4.416655382532189839e-02,1.000000000000000000e+03
1.051909004739336524e+04,4.745971563980855984e-02,1.000000000000000000e+03
1.052909681787406953e+04,-3.494696456782549112e-03,1.000000000000000000e+03
1.053910358835477382e+04,-2.051794177386909862e-02,1.000000000000000000e+03
1.054911035883547811e+04,-7.000000000000000666e-02,1.000000000000000000e+03
1.055911712931618240e+04,-7.000000000000000666e-02,1.000000000000000000e+03
1.056912389979688487e+04,-1.525660121869078234e-02,1.000000000000000000e+03
1.057913067027758916e+04,-5.565335138794579722e-02,1.000000000000000000e+03
1.058913744075829345e+04,-4.477093206951091725e-02,1.000000000000000000e+03
1.059914421123899774e+04,-3.285578876100225809e-02,1.000000000000000000e+03
1.060915098171970203e+04,-2.284901828029797105e-02,1.000000000000000000e+03
1.061915775220040632e+04,-8.070412999322797154e-03,1.000000000000000000e+03
1.062916452268111061e+04,-1.549356804333183388e-02,1.000000000000000000e+03
1.063917129316181490e+04,-2.999999999999999889e-02,1.000000000000000000e+03
1.064917806364251919e+04,-3.417806364251919221e-02,1.000000000000000000e+03
1.065918483412322348e+04,-4.418483412322348619e-02,1.000000000000000000e+03
1.066919160460392595e+04,-3.602798465358016122e-02,1.000000000000000000e+03
1.067919837508463024e+04,-1.000000000000000021e-02,1.000000000000000000e+03
1.068920514556533453e+04,-1.400935557333551386e-02,1.000000000000000000e+03
1.069921191604603882e+04,-3.363574813811646969e-02,1.000000000000000000e+03
1.070921868652674311e+04,-5.778420631501252069e-02,1.000000000000000000e+03
1.071922545700744740e+04,-3.795039084138724511e-02,1.000000000000000000e+03
1.072923222748815169e+04,5.302024989228813073e-02,1.000000000000000000e+03
1.073923899796885598e+04,4.566012186864094879e-03,1.000000000000000000e+03
1.074924576844956027e+04,2.773730534868082062e-02,1.000000000000000000e+03
1.075925253893026456e+04,-8.552245542769017217e-03,1.000000000000000000e+03
1.076925930941096885e+04,-2.000000000000000042e-02,1.000000000000000000e+03
