Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.43
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"12248,1000,-0.00,83"
"12258,1000,-0.02,100"
"12269,1000,0.01,90"
"12279,1000,0.02,100"
"12290,1000,0.05,90"
"12301,1000,0.05,90"
"12311,1000,0.02,100"
"12321,1000,0.02,100"
"12333,1000,0.02,83"
"12343,1000,0.02,100"
"12354,1000,-0.00,90"
"12364,1000,-0.04,100"
"12375,1000,-0.04,90"
"12386,1000,-0.05,90"
"12396,1000,-0.01,100"
"12406,1000,0.00,100"
"12418,1000,0.01,83"
"12428,1000,-0.00,100"
"12439,1000,0.04,90"
"12449,1000,0.04,100"
"12460,1000,0.01,90"
"12471,1000,-0.03,90"
"12481,1000,-0.00,100"
"12491,1000,-0.04,100"
"12503,1000,-0.02,83"
"12513,1000,-0.04,100"
"12523,1000,-0.08,100"
"12534,1000,-0.07,90"
"12545,1000,-0.01,90"
"12556,1000,-0.01,90"
"12566,1000,-0.00,100"
"12576,1000,0.02,100"
"12588,1000,-0.01,83"
"12598,1000,-0.00,100"
"12608,1000,0.00,100"
"12619,1000,-0.03,90"
"12630,1000,0.00,90"
"12641,1000,-0.02,90"
"12651,1000,-0.01,100"
"12661,1000,-0.01,100"
"12673,1000,-0.00,83"
"12683,1000,0.01,100"
"12693,1000,-0.04,100"
"12704,1000,-0.01,90"
"12715,1000,0.01,90"
"12725,1000,-0.00,100"
"12736,1000,-0.02,90"
"12746,1000,-0.06,100"
"12758,1000,-0.01,83"
"12768,1000,-0.06,100"
"12778,1000,-0.05,100"
"12789,1000,-0.01,90"
"12800,1000,0.00,90"
"12810,1000,0.00,100"
"12821,1000,-0.01,90"
"12831,1000,0.01,100"
"12843,1000,-0.01,83"
"12853,1000,-0.01,100"
"12863,1000,-0.05,100"
"12874,1000,-0.02,90"
"12884,1000,0.01,100"
"12895,1000,0.01,90"
"12906,1000,0.01,90"
"12916,1000,-0.03,100"
"12928,1000,-0.04,83"
"12938,1000,-0.08,100"
"12948,1000,-0.01,100"
"12959,1000,0.01,90"
"12969,1000,0.01,100"
"12980,1000,-0.01,90"
"12991,1000,-0.02,90"
"13001,1000,-0.02,100"
"13011,1000,-0.01,100"
"13023,1000,-0.03,83"
"13033,1000,-0.02,100"
"13044,1000,-0.02,90"
"13054,1000,-0.01,100"
"13065,1000,0.01,90"
"13076,1000,-0.02,90"
"13086,1000,-0.03,100"
"13096,1000,-0.03,100"
"13108,1000,-0.07,83"
"13118,1000,-0.05,100"
"13129,1000,-0.08,90"
"13139,1000,-0.13,100"
"13150,1000,-0.07,90"
"13161,1000,-0.10,90"
"13171,1000,-0.07,100"
"13181,1000,-0.03,100"
"13193,1000,-0.06,83"
"13203,1000,-0.05,100"
"13213,1000,-0.03,100"
"13224,1000,-0.03,90"
"13235,1000,-0.03,90"
"13246,1000,0.04,90"
"13256,1000,0.00,100"
"13266,1000,-0.01,100"
"13278,1000,-0.05,83"
"13288,1000,-0.09,100"
"13298,1000,-0.05,100"
"13309,1000,-0.03,90"
"13320,1000,-0.07,90"
"13330,1000,-0.07,100"
"13341,1000,-0.08,90"
"13351,1000,-0.10,100"
"13363,1000,-0.06,83"
"13373,1000,-0.06,100"
"13383,1000,-0.07,100"
"13394,1000,-0.04,90"
"13405,1000,-0.03,90"
"13415,1000,-0.02,100"
"13426,1000,-0.01,90"
"13436,1000,0.03,100"
"13448,1000,-0.04,83"
"13458,1000,-0.09,100"
"13468,1000,-0.04,100"
"13479,1000,-0.06,90"
"13490,1000,-0.09,90"
"13500,1000,-0.07,100"
"13511,1000,-0.07,90"
"13521,1000,-0.07,100"
"13533,1000,-0.05,83"
"13543,1000,-0.00,100"
"13553,1000,-0.04,100"
"13564,1000,0.01,90"
"13575,1000,0.02,90"
"13585,1000,0.05,100"
"13596,1000,0.01,90"
"13606,1000,-0.08,100"
"13618,1000,-0.03,83"
"13628,1000,0.02,100"
"13638,1000,-0.01,100"
"13649,1000,-0.01,90"
"13660,1000,0.05,90"
"13670,1000,-0.02,100"
"13681,1000,-0.07,90"
"13691,1000,-0.08,100"
"13702,1000,-0.03,90"
"13713,1000,-0.06,90"
"13723,1000,-0.00,100"
"13733,1000,-0.05,100"
"13745,1000,-0.02,83"
"13755,1000,0.03,100"
"13766,1000,0.03,90"
"13776,1000,0.03,100"
"13787,1000,0.04,90"
"13798,1000,-0.03,90"
"13808,1000,-0.01,100"
"13818,1000,-0.04,100"
"13830,1000,-0.06,83"
"13840,1000,-0.04,100"
"13851,1000,0.04,90"
"13861,1000,0.02,100"
"13872,1000,-0.01,90"
"13883,1000,-0.01,90"
"13893,1000,-0.03,100"
"13903,1000,-0.03,100"
"13915,1000,-0.03,83"
"13925,1000,-0.03,100"
"13936,1000,-0.02,90"
"13946,1000,-0.03,100"
"13957,1000,-0.10,90"
"13968,1000,-0.03,90"
"13978,1000,-0.04,100"
"13988,1000,-0.00,100"
"14000,1000,0.00,83"
"14010,1000,-0.03,100"
"14021,1000,0.02,90"
"14031,1000,-0.00,100"
"14042,1000,-0.01,90"
"14053,1000,0.02,90"
"14063,1000,0.01,100"
