time,in,out
1.017951551312649099e+04,-6.968973747018026264e-03,1.000000000000000000e+03
1.018952744630071538e+04,1.555435018441957487e-02,1.000000000000000000e+03
1.019953937947493978e+04,5.000000000000000278e-02,1.000000000000000000e+03
1.020955131264916417e+04,5.000000000000000278e-02,1.000000000000000000e+03
1.021956324582338857e+04,5.956324582338856644e-02,1.000000000000000000e+03
1.022957517899761297e+04,2.548926014322203115e-03,1.000000000000000000e+03
1.023958711217183736e+04,-7.989260143197802339e-03,1.000000000000000000e+03
1.024959904534606176e+04,5.198090692123515447e-03,1.000000000000000000e+03
1.025961097852028615e+04,1.000000000000000021e-02,1.000000000000000000e+03
1.026962291169451055e+04,-1.078975916684695065e-02,1.000000000000000000e+03
1.027963484486873494e+04,-1.396832284660459722e-02,1.000000000000000000e+03
1.028964677804295934e+04,-4.080060750705095246e-02,1.000000000000000000e+03
1.029965871121718374e+04,-6.534128878281626751e-02,1.000000000000000000e+03
1.030967064439140813e+04,-4.598806682577560173e-02,1.000000000000000000e+03
1.031968257756563253e+04,-3.780429594272088217e-02,1.000000000000000000e+03
1.032969451073985692e+04,-3.113842482100153547e-02,1.000000000000000000e+03
1.033970644391408132e+04,2.811933174224395815e-02,1.000000000000000000e+03
1.034971837708830572e+04,5.000000000000000278e-02,1.000000000000000000e+03
1.035973031026253011e+04,4.056194402256303733e-02,1.000000000000000000e+03
1.036974224343675451e+04,-6.626166196570424174e-03,1.000000000000000000e+03
1.037975417661097890e+04,3.888262095899501503e-02,1.000000000000000000e+03
1.038976610978520330e+04,-1.859665871121978648e-02,1.000000000000000000e+03
1.039977804295942769e+04,9.334128878283082242e-03,1.000000000000000000e+03
1.040978997613365209e+04,1.815831344471007663e-02,1.000000000000000000e+03
1.041980190930787649e+04,-3.405727923629454923e-03,1.000000000000000000e+03
1.042981384248210088e+04,2.125536992840352385e-02,1.000000000000000000e+03
1.043982577565632528e+04,2.999999999999999889e-02,1.000000000000000000e+03
1.044983770883054967e+04,4.243219787372667917e-02,1.000000000000000000e+03
1.045984964200477407e+04,1.809286179214144447e-02,1.000000000000000000e+03
1.046986157517899846e+04,-5.138424821001535796e-03,1.000000000000000000e+03
1.047987350835322286e+04,-4.873508353222860169e-03,1.000000000000000000e+03
1.048988544152744726e+04,-1.814240254574542299e-02,1.000000000000000000e+03
1.049989737470167165e+04,-1.841050119331339233e-02,1.000000000000000000e+03
1.050990930787589605e+04,1.581861575179209500e-02,1.000000000000000000e+03
1.051992124105012044e+04,1.937730527228929620e-02,1.000000000000000000e+03
1.052993317422434302e+04,-8.242568886960890615e-03,1.000000000000000000e+03
1.053994510739856742e+04,-8.591885441521960546e-04,1.000000000000000000e+03
1.054995704057279181e+04,-9.960945975265282290e-03,1.000000000000000000e+03
1.055996897374701621e+04,-1.000000000000000021e-02,1.000000000000000000e+03
1.056998090692124060e+04,5.986634844868420763e-02,1.000000000000000000e+03
1.057999284009546500e+04,2.669053301511667420e-02,1.000000000000000000e+03
1.059000477326968939e+04,2.000000000000000042e-02,1.000000000000000000e+03
1.060001670644391379e+04,3.603341288782757612e-02,1.000000000000000000e+03
1.061002863961813819e+04,4.000000000000000083e-02,1.000000000000000000e+03
1.062004057279236258e+04,1.439791711868152260e-02,1.000000000000000000e+03
1.063005250596658698e+04,-3.026252983293488755e-02,1.000000000000000000e+03
1.064006443914081137e+04,-3.897374701670659747e-02,1.000000000000000000e+03
1.065007637231503577e+04,-2.999999999999999889e-02,1.000000000000000000e+03
1.066008830548926016e+04,-3.848050914876693929e-02,1.000000000000000000e+03
1.067010023866348456e+04,-4.689976133651543866e-02,1.000000000000000000e+03
1.068011217183770896e+04,-2.755131264916417522e-02,1.000000000000000000e+03
1.069012410501193335e+04,8.520286396181868740e-03,1.000000000000000000e+03
1.070013603818615775e+04,1.931980906921125854e-02,1.000000000000000000e+03
1.071014797136038214e+04,-1.609459752657792231e-02,1.000000000000000000e+03
