Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"12504,1000,-0.01,83"
"12514,1000,0.08,100"
"12524,1000,0.04,100"
"12535,1000,0.06,90"
"12546,1000,0.04,90"
"12556,1000,0.04,100"
"12567,1000,0.05,90"
"12577,1000,0.03,100"
"12588,1000,0.02,90"
"12599,1000,-0.01,90"
"12609,1000,0.00,100"
"12620,1000,0.03,90"
"12631,1000,-0.01,90"
"12641,1000,-0.02,100"
"12652,1000,0.01,90"
"12662,1000,0.01,100"
"12673,1000,0.00,90"
"12684,1000,0.02,90"
"12694,1000,0.04,100"
"12704,1000,0.04,100"
"12716,1000,0.01,83"
"12726,1000,0.04,100"
"12737,1000,0.04,90"
"12747,1000,0.02,100"
"12758,1000,0.03,90"
"12769,1000,0.02,90"
"12779,1000,0.05,100"
"12789,1000,0.06,100"
"12801,1000,0.02,83"
"12811,1000,0.02,100"
"12822,1000,0.02,90"
"12832,1000,-0.01,100"
"12843,1000,0.01,90"
"12854,1000,-0.03,90"
"12864,1000,-0.02,100"
"12874,1000,-0.01,100"
"12886,1000,-0.05,83"
"12896,1000,-0.02,100"
"12907,1000,-0.04,90"
"12917,1000,0.02,100"
"12928,1000,0.01,90"
"12939,1000,0.05,90"
"12949,1000,0.04,100"
"12959,1000,0.03,100"
"12971,1000,0.05,83"
"12981,1000,0.04,100"
"12992,1000,0.07,90"
"13002,1000,0.03,100"
"13012,1000,0.05,100"
"13024,1000,0.03,83"
"13034,1000,0.01,100"
"13044,1000,-0.02,100"
"13056,1000,0.01,83"
"13066,1000,0.02,100"
"13077,1000,0.03,90"
"13087,1000,0.04,100"
"13097,1000,-0.01,100"
"13109,1000,0.04,83"
"13119,1000,0.04,100"
"13129,1000,0.03,100"
"13140,1000,0.01,90"
"13151,1000,0.05,90"
"13162,1000,0.08,90"
"13172,1000,0.04,100"
"13182,1000,-0.01,100"
"13194,1000,-0.02,83"
"13204,1000,-0.04,100"
"13214,1000,-0.04,100"
"13225,1000,0.05,90"
"13236,1000,0.02,90"
"13247,1000,-0.02,90"
"13257,1000,0.03,100"
"13267,1000,0.02,100"
"13279,1000,0.04,83"
"13289,1000,-0.05,100"
"13299,1000,0.02,100"
"13310,1000,0.01,90"
"13321,1000,0.02,90"
"13331,1000,-0.04,100"
"13342,1000,-0.02,90"
"13352,1000,-0.01,100"
"13364,1000,-0.04,83"
"13374,1000,-0.01,100"
"13384,1000,0.01,100"
"13395,1000,0.01,90"
"13406,1000,0.02,90"
"13416,1000,0.00,100"
"13427,1000,-0.02,90"
"13437,1000,-0.01,100"
"13449,1000,-0.03,83"
"13459,1000,-0.01,100"
"13469,1000,-0.01,100"
"13480,1000,-0.00,90"
"13491,1000,0.04,90"
"13501,1000,0.00,100"
"13512,1000,0.02,90"
"13522,1000,-0.02,100"
"13533,1000,-0.04,90"
"13544,1000,-0.01,90"
"13554,1000,0.01,100"
"13565,1000,0.01,90"
"13576,1000,-0.07,90"
"13586,1000,-0.09,100"
"13597,1000,-0.07,90"
"13607,1000,-0.03,100"
"13618,1000,-0.01,90"
"13629,1000,0.03,90"
"13639,1000,-0.00,100"
"13649,1000,0.01,100"
"13661,1000,-0.02,83"
"13671,1000,-0.03,100"
"13682,1000,-0.02,90"
"13692,1000,0.03,100"
"13703,1000,0.01,90"
"13714,1000,0.00,90"
"13724,1000,-0.00,100"
"13734,1000,0.03,100"
"13746,1000,-0.01,83"
"13756,1000,0.02,100"
"13767,1000,0.01,90"
"13777,1000,0.03,100"
"13788,1000,-0.01,90"
"13799,1000,-0.02,90"
"13809,1000,-0.04,100"
"13819,1000,-0.01,100"
"13831,1000,-0.04,83"
"13841,1000,-0.08,100"
"13852,1000,-0.05,90"
"13862,1000,-0.06,100"
"13873,1000,-0.02,90"
"13884,1000,-0.04,90"
"13894,1000,-0.06,100"
"13904,1000,-0.07,100"
"13916,1000,-0.08,83"
"13926,1000,-0.03,100"
"13936,1000,-0.03,100"
"13947,1000,-0.01,90"
"13958,1000,0.01,90"
"13969,1000,0.02,90"
"13979,1000,-0.05,100"
"13989,1000,0.00,100"
"14001,1020,-0.05,83"
"14011,1200,0.01,100"
"14022,1200,-0.07,90"
"14032,1200,-0.01,100"
"14043,1200,-0.01,90"
"14054,1200,0.02,90"
"14064,1200,-0.03,100"
"14075,1200,0.43,90"
"14086,1200,0.82,90"
"14096,1200,0.77,100"
"14107,1200,0.89,90"
"14117,1200,0.87,100"
"14129,1200,0.88,83"
"14139,1200,1.09,100"
"14149,1200,1.06,100"
"14160,1200,1.18,90"
"14171,1200,1.24,90"
"14182,1200,1.34,90"
"14192,1200,1.29,100"
"14203,1200,1.14,90"
"14214,1200,0.94,90"
"14224,1200,0.89,100"
"14235,1200,0.82,90"
"14245,1200,0.90,100"
"14257,1200,0.75,83"
"14267,1200,0.81,100"
"14277,1200,0.80,100"
"14288,1200,0.75,90"
"14299,1200,0.74,90"
"14310,1200,0.74,90"
"14320,1200,0.64,100"
"14330,1200,0.65,100"
"14342,1200,0.58,83"
"14352,1200,0.59,100"
"14363,1200,0.55,90"
"14373,1200,0.58,100"
"14384,1200,0.57,90"
"14395,1200,0.53,90"
"14405,1200,0.52,100"
"14416,1200,0.54,90"
"14427,1200,0.49,90"
"14438,1200,0.56,90"
"14448,1200,0.78,100"
"14458,1200,0.74,100"
"14470,1200,0.52,83"
"14480,1200,0.44,100"
"14491,1200,0.44,90"
"14501,1200,0.49,100"
"14512,1200,0.49,90"
"14523,1200,0.46,90"
"14533,1200,0.43,100"
"14544,1200,0.51,90"
"14555,1200,0.40,90"
"14565,1200,0.43,100"
"14576,1200,0.48,90"
"14586,1200,0.68,100"
"14598,1200,0.59,83"
"14608,1200,0.44,100"
"14619,1200,0.45,90"
"14629,1200,0.48,100"
"14640,1200,0.59,90"
"14651,1200,0.59,90"
"14661,1200,0.43,100"
"14672,1200,0.49,90"
"14683,1200,0.50,90"
"14693,1200,0.43,100"
"14704,1200,0.43,90"
"14714,1200,0.49,100"
"14726,1200,0.49,83"
"14736,1200,0.44,100"
"14747,1200,0.48,90"
"14757,1200,0.53,100"
"14768,1200,0.49,90"
"14779,1200,0.48,90"
"14789,1200,0.47,100"
"14800,1200,0.43,90"
"14811,1200,0.48,90"
"14821,1200,0.38,100"
"14832,1200,0.43,90"
"14842,1200,0.43,100"
"14854,1200,0.40,83"
"14864,1200,0.40,100"
"14874,1200,0.45,100"
"14885,1200,0.43,90"
"14896,1200,0.53,90"
"14907,1200,0.56,90"
"14917,1200,0.54,100"
"14927,1200,0.48,100"
"14939,1200,0.47,83"
"14949,1200,0.49,100"
"14960,1200,0.46,90"
"14970,1200,0.51,100"
"14982,1200,0.66,83"
"14992,1200,0.79,100"
"15002,1200,0.60,100"
"15013,1200,0.45,90"
"15024,1200,0.44,90"
"15035,1200,0.45,90"
"15045,1200,0.51,100"
"15055,1200,0.45,100"
"15067,1200,0.52,83"
"15077,1200,0.51,100"
"15088,1200,0.53,90"
"15098,1200,0.50,100"
"15110,1200,0.44,83"
"15120,1200,0.45,100"
"15130,1200,0.46,100"
"15141,1200,0.42,90"
"15152,1200,0.43,90"
"15163,1200,0.45,90"
"15173,1200,0.44,100"
"15183,1200,0.45,100"
"15195,1200,0.42,83"
"15205,1200,0.51,100"
"15216,1200,0.48,90"
"15226,1200,0.52,100"
"15238,1200,0.46,83"
"15248,1200,0.45,100"
"15258,1200,0.54,100"
"15269,1200,0.46,90"
"15280,1200,0.48,90"
"15291,1200,0.47,90"
"15301,1200,0.46,100"
"15311,1200,0.51,100"
"15323,1200,0.54,83"
"15333,1200,0.57,100"
"15344,1200,0.54,90"
"15354,1200,0.53,100"
"15366,1200,0.49,83"
"15376,1200,0.54,100"
"15386,1200,0.51,100"
"15397,1200,0.49,90"
"15408,1200,0.45,90"
"15419,1200,0.46,90"
"15429,1200,0.49,100"
"15439,1200,0.51,100"
"15451,1200,0.52,83"
"15461,1200,0.45,100"
"15472,1200,0.49,90"
"15482,1200,0.68,100"
"15493,1200,0.62,90"
"15504,1200,0.50,90"
"15514,1200,0.54,100"
"15525,1200,0.54,90"
"15536,1200,0.58,90"
"15546,1200,0.75,100"
"15557,1200,0.77,90"
"15567,1200,0.53,100"
"15579,1200,0.37,83"
"15589,1200,0.43,100"
"15600,1200,0.43,90"
"15610,1200,0.38,100"
"15621,1200,0.48,90"
"15632,1200,0.43,90"
"15642,1200,0.49,100"
"15653,1200,0.48,90"
"15664,1200,0.51,90"
"15674,1200,0.49,100"
"15685,1200,0.51,90"
"15695,1200,0.48,100"
"15707,1200,0.49,83"
"15717,1200,0.52,100"
"15728,1200,0.52,90"
"15738,1200,0.49,100"
"15749,1200,0.49,90"
"15760,1200,0.48,90"
"15770,1200,0.52,100"
"15781,1200,0.46,90"
"15792,1200,0.45,90"
"15802,1200,0.49,100"
"15813,1200,0.49,90"
"15823,1200,0.49,100"
"15835,1200,0.51,83"
"15845,1200,0.54,100"
"15855,1200,0.51,100"
"15866,1200,0.49,90"
"15877,1200,0.54,90"
"15888,1200,0.47,90"
"15898,1200,0.51,100"
"15908,1200,0.47,100"
"15920,1200,0.52,83"
"15930,1200,0.54,100"
"15941,1200,0.67,90"
"15951,1200,0.82,100"
"15963,1200,0.75,83"
"15973,1200,0.51,100"
"15983,1200,0.55,100"
"15994,1200,0.49,90"
"16005,1200,0.48,90"
"16016,1200,0.45,90"
"16026,1200,0.50,100"
"16036,1200,0.46,100"
"16048,1200,0.53,83"
"16058,1200,0.49,100"
"16069,1200,0.57,90"
"16079,1200,0.53,100"
"16091,1200,0.58,83"
"16101,1200,0.54,100"
"16111,1200,0.56,100"
"16122,1200,0.47,90"
"16133,1200,0.51,90"
"16144,1200,0.52,90"
"16154,1200,0.51,100"
"16164,1200,0.54,100"
"16176,1200,0.50,83"
"16186,1200,0.51,100"
"16197,1200,0.56,90"
"16207,1200,0.53,100"
"16219,1200,0.60,83"
"16229,1200,0.82,100"
"16239,1200,0.73,100"
"16250,1200,0.51,90"
"16261,1200,0.42,90"
"16272,1200,0.45,90"
"16282,1200,0.43,100"
"16292,1200,0.47,100"
"16304,1200,0.54,83"
"16314,1200,0.53,100"
"16325,1200,0.48,90"
"16335,1200,0.51,100"
"16346,1200,0.69,90"
"16357,1200,0.65,90"
"16367,1200,0.64,100"
"16378,1200,0.59,90"
"16389,1200,0.48,90"
"16399,1200,0.47,100"
"16410,1200,0.48,90"
"16420,1200,0.41,100"
"16432,1200,0.41,83"
"16442,1200,0.46,100"
"16453,1200,0.46,90"
"16463,1200,0.51,100"
"16474,1200,0.45,90"
"16485,1200,0.46,90"
"16495,1200,0.49,100"
"16506,1200,0.50,90"
"16517,1200,0.56,90"
"16527,1200,0.59,100"
"16538,1200,0.47,90"
"16548,1200,0.50,100"
"16560,1200,0.44,83"
"16570,1200,0.46,100"
"16580,1200,0.45,100"
"16591,1200,0.43,90"
"16602,1200,0.59,90"
"16613,1200,0.75,90"
"16623,1200,0.53,100"
"16633,1200,0.33,100"
"16645,1200,0.46,83"
"16655,1200,0.47,100"
"16666,1200,0.48,90"
"16676,1200,0.46,100"
"16688,1200,0.49,83"
"16698,1200,0.49,100"
"16708,1200,0.53,100"
"16719,1200,0.48,90"
"16730,1200,0.47,90"
"16741,1200,0.64,90"
"16751,1200,0.84,100"
"16761,1200,0.62,100"
"16773,1200,0.40,83"
"16783,1200,0.41,100"
"16794,1200,0.43,90"
"16804,1200,0.43,100"
"16815,1200,0.40,90"
"16826,1200,0.41,90"
"16836,1200,0.49,100"
"16847,1200,0.56,90"
"16858,1200,0.51,90"
"16868,1200,0.57,100"
"16879,1200,0.42,90"
"16889,1200,0.47,100"
"16901,1200,0.45,83"
"16911,1200,0.47,100"
"16922,1200,0.45,90"
"16932,1200,0.46,100"
"16943,1200,0.57,90"
"16954,1200,0.52,90"
"16964,1200,0.54,100"
"16975,1200,0.52,90"
"16986,1200,0.52,90"
"16996,1200,0.62,100"
"17007,1200,0.71,90"
"17017,1200,0.64,100"
"17029,1200,0.44,83"
"17039,1200,0.49,100"
"17049,1200,0.48,100"
"17060,1200,0.44,90"
"17071,1200,0.46,90"
"17082,1200,0.48,90"
"17092,1200,0.47,100"
"17102,1200,0.45,100"
"17114,1200,0.42,83"
"17124,1200,0.45,100"
"17135,1200,0.45,90"
"17145,1200,0.49,100"
"17157,1200,0.47,83"
"17167,1200,0.44,100"
"17177,1200,0.53,100"
"17188,1200,0.48,90"
"17199,1200,0.46,90"
"17210,1200,0.52,90"
"17220,1200,0.52,100"
"17230,1200,0.51,100"
"17242,1200,0.65,83"
"17252,1200,0.80,100"
"17263,1200,0.62,90"
"17273,1200,0.42,100"
"17285,1200,0.43,83"
"17295,1200,0.44,100"
"17305,1200,0.47,100"
"17316,1200,0.45,90"
"17327,1200,0.47,90"
"17338,1200,0.40,90"
"17348,1200,0.44,100"
"17358,1200,0.39,100"
"17370,1200,0.51,83"
"17380,1200,0.53,100"
"17391,1200,0.54,90"
"17401,1200,0.50,100"
"17412,1200,0.46,90"
"17423,1200,0.56,90"
"17433,1200,0.56,100"
"17444,1200,0.69,90"
"17455,1200,0.65,90"
"17465,1200,0.48,100"
"17476,1200,0.43,90"
"17486,1200,0.45,100"
